Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-06-02,138.391,141.965,125.585,129.357,2851113.3424591
2024-06-09,130.548,136.704,130.052,133.874,1916579.1559051
2024-06-16,133.974,136.555,129.854,132.832,1578636.8425067
2024-06-23,132.832,138.65,132.832,135.95,1964666.1501075
2024-06-30,136,145.4,136,138.95,1918458
2024-07-07,139.85,145.6,137,145,1161665
2024-07-14,144.7,159.15,143.5,158.55,1999015
2024-07-21,158.25,164.5,156.6,157.5,2360546
2024-07-28,157.5,159.05,150.55,155.45,1257616
2024-08-04,156.4,161.75,154.75,157.4,1525388
2024-08-11,149.95,165.6,145,164.05,3577071
2024-08-18,164,181.6,163.05,179.85,2278082
2024-08-25,178.9,187,170,181.45,1640898
2024-09-01,181.45,185.5,172,183.1,1702398
2024-09-08,183.1,183.2,167.2,170.75,1370839
2024-09-15,168,171,160.5,170,2197549
2024-09-22,170,180.1,169.75,175.7,1881906
2024-09-29,175.7,175.75,165.25,174.25,1571042
2024-10-06,173.15,177.3,164.5,170.5,1526684
2024-10-13,171.8,173.35,156.75,161.15,1752802
2024-10-20,162.15,165.45,152,160.45,1362931
2024-10-27,160.45,161.35,155.3,158.7,1286198
2024-11-03,159.1,163.65,156.55,160.75,862416
2024-11-10,161,164.6,157.6,161,1141254
2024-11-17,161,162.3,155.85,155.85,914329
2024-11-24,155.7,161.85,150.3,160.85,1270252
2024-12-01,161.4,173,158,167.2,2319212
2024-12-08,168.75,200,167.45,199.85,2877437
2024-12-15,199.85,202,178.25,183.6,3059208
2024-12-22,184.5,195.5,182.85,187.3,2208953
2024-12-29,187.3,191.15,184,190.55,408458
2025-01-05,190.55,198.75,188.75,196.1,820501
2025-01-12,196.3,200.4,183.2,192.15,1281918
2025-01-19,190,220.2,187.2,218.5,2277993
2025-01-26,218.5,223.9,205.3,207.1,1800910
2025-02-02,205,212.3,201.3,211.1,1028341
2025-02-09,205,224.1,205,216.6,1706166
2025-02-16,217,235.9,216.1,226.8,1531526
2025-02-23,226.8,238.8,224.5,228.2,1089891
2025-03-02,227.6,227.9,215.2,221.6,1250342
2025-03-09,219.7,225.3,210.4,215.5,1450588
2025-03-16,214.5,216.1,206.5,216,1570364
2025-03-23,216.5,226.1,213.4,222.7,1634116
2025-03-30,222.7,229.7,200,218.4,2652362
2025-04-06,216.8,222.8,204,212.7,1891668
2025-04-13,205,216,195.3,210.4,2232913
2025-04-20,214,222.8,210.1,221.6,965045
2025-04-27,221.5,229.5,217.9,224.7,995386
2025-05-04,224,257.8,224,257.6,1433610
2025-05-11,255,255.6,240.1,243.3,1099049
2025-05-18,245.7,249,229.6,231.6,948871
2025-05-25,231.6,233.8,213.1,218.2,1078918
2025-06-01,220.5,230.2,218.6,221.8,1915549
